date_from,date_to,tier,map,legend,abi_1,abi_2,charm_1,charm_2,match_count,win_count
2023-11-05,2023-11-12,silver3,4008,101,1,0,5,6,1,0
2023-11-05,2023-11-12,silver3,4005,101,1,2,5,2,1,0
2023-11-05,2023-11-12,silver3,4007,101,1,2,6,3,1,0
2023-11-05,2023-11-12,silver3,4009,101,1,2,6,3,1,0
2023-11-05,2023-11-12,silver3,4009,101,1,5,3,1,2,1
2023-11-05,2023-11-12,silver3,4005,101,1,5,3,1,1,1
2023-11-05,2023-11-12,silver3,4006,101,1,5,3,4,1,0
2023-11-05,2023-11-12,silver3,4005,101,1,5,3,4,1,1
2023-11-05,2023-11-12,silver3,4007,101,1,5,3,4,1,0
2023-11-05,2023-11-12,silver3,4009,101,1,5,3,4,1,0
2023-11-05,2023-11-12,silver3,4008,101,1,5,5,6,1,0
2023-11-05,2023-11-12,silver3,4006,101,2,1,3,1,1,0
2023-11-05,2023-11-12,silver3,4009,101,2,5,1,6,1,1
2023-11-05,2023-11-12,silver3,4009,101,2,5,3,2,2,1
2023-11-05,2023-11-12,silver3,4009,101,2,5,5,1,1,0
2023-11-05,2023-11-12,silver3,4006,101,2,5,5,4,1,1
2023-11-05,2023-11-12,silver3,4007,101,2,5,6,3,2,2
2023-11-05,2023-11-12,silver3,4009,101,2,5,6,3,1,0
2023-11-05,2023-11-12,silver3,4005,101,2,5,6,3,2,2
2023-11-05,2023-11-12,silver3,4003,101,2,5,6,3,2,0
2023-11-05,2023-11-12,silver3,4008,101,2,5,6,3,1,0
2023-11-05,2023-11-12,silver3,4006,101,3,4,3,1,1,1
2023-11-05,2023-11-12,silver3,4007,101,3,5,3,4,1,1
2023-11-05,2023-11-12,silver3,4006,101,4,1,6,5,1,0
2023-11-05,2023-11-12,silver3,4007,101,4,2,3,1,1,0
2023-11-05,2023-11-12,silver3,4006,101,4,2,3,1,1,0
2023-11-05,2023-11-12,silver3,4008,101,4,2,3,6,1,1
2023-11-05,2023-11-12,silver3,4007,101,4,2,5,3,4,1
2023-11-05,2023-11-12,silver3,4009,101,4,2,5,3,6,2
2023-11-05,2023-11-12,silver3,4006,101,4,2,5,3,1,0
2023-11-05,2023-11-12,silver3,4005,101,4,2,5,3,1,0
2023-11-05,2023-11-12,silver3,4003,101,4,2,5,3,3,2
2023-11-05,2023-11-12,silver3,4008,101,4,2,5,3,3,1
2023-11-05,2023-11-12,silver3,4006,101,4,2,6,1,1,1
2023-11-05,2023-11-12,silver3,4008,101,4,2,6,4,1,0
