date_from,date_to,tier,map,legend,match_count,win_count,win_pct,abi1,abi2,abi3,abi4,abi5,abi0,e_blue,e_pink,e_yellow,e_green,e_red,e_gray
2023-11-05,2023-11-12,silver3,strato,peter,1,0,0.0,1,0,0,0,0,1,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,proto,peter,1,0,0.0,1,1,0,0,0,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,night,peter,1,0,0.0,1,1,0,0,0,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,fac,peter,1,0,0.0,1,1,0,0,0,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,fac,peter,2,1,50.0,1,0,0,0,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,proto,peter,1,1,100.0,1,0,0,0,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,sunset,peter,1,0,0.0,1,0,0,0,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,proto,peter,1,1,100.0,1,0,0,0,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,night,peter,1,0,0.0,1,0,0,0,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,fac,peter,1,0,0.0,1,0,0,0,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,strato,peter,1,0,0.0,1,0,0,0,1,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,sunset,peter,1,0,0.0,1,1,0,0,0,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,fac,peter,1,1,100.0,0,1,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,fac,peter,2,1,50.0,0,1,0,0,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,fac,peter,1,0,0.0,0,1,0,0,1,0,1,0,0,1,0,0
2023-11-05,2023-11-12,silver3,sunset,peter,1,1,100.0,0,1,0,0,1,0,1,0,0,0,0,1
2023-11-05,2023-11-12,silver3,night,peter,2,2,100.0,0,1,0,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,fac,peter,1,0,0.0,0,1,0,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,proto,peter,2,2,100.0,0,1,0,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,noon,peter,2,0,0.0,0,1,0,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,strato,peter,1,0,0.0,0,1,0,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,sunset,peter,1,1,100.0,0,0,1,1,0,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,night,peter,1,1,100.0,0,0,1,0,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,sunset,peter,1,0,0.0,1,0,0,1,0,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,night,peter,1,0,0.0,0,1,0,1,0,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,sunset,peter,1,0,0.0,0,1,0,1,0,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,strato,peter,1,1,100.0,0,1,0,1,0,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,night,peter,4,1,25.0,0,1,0,1,0,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,fac,peter,6,2,33.33333333333333,0,1,0,1,0,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,sunset,peter,1,0,0.0,0,1,0,1,0,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,proto,peter,1,0,0.0,0,1,0,1,0,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,noon,peter,3,2,66.66666666666666,0,1,0,1,0,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,strato,peter,3,1,33.33333333333333,0,1,0,1,0,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,sunset,peter,1,1,100.0,0,1,0,1,0,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,strato,peter,1,0,0.0,0,1,0,1,0,0,0,1,0,0,0,1
2023-11-05,2023-11-12,silver3,fac,peter,1,0,0.0,0,0,1,1,0,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,noon,peter,2,0,0.0,0,0,1,1,0,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,fac,peter,1,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,night,peter,1,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,proto,peter,1,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,noon,peter,1,0,0.0,0,0,0,1,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,night,peter,1,0,0.0,0,0,0,1,1,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,noon,peter,1,0,0.0,0,0,0,1,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,sunset,peter,2,1,50.0,0,0,0,1,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,fac,peter,1,0,0.0,0,0,0,1,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,night,peter,1,0,0.0,0,0,0,1,1,0,0,1,0,0,0,1
2023-11-05,2023-11-12,silver3,sunset,peter,1,0,0.0,1,0,0,0,1,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,noon,peter,1,0,0.0,1,0,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,fac,peter,1,0,0.0,0,1,0,0,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,night,peter,1,1,100.0,0,1,0,0,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,sunset,peter,1,0,0.0,0,1,0,0,1,0,1,0,1,0,0,0
